VARIABLE NAME,LABEL,RELATED PUF CONSTRUCT,SUGGESTED CONSTRUCT,CHIS 2023,CHIS 2021-2022,CHIS 2022,CHIS 2021,CHIS 2019-2020,CHIS 2020,CHIS 2019,CHIS 2017-2018,CHIS 2018,CHIS 2017,CHIS 2015-2016,CHIS 2016,CHIS 2015,CHIS 2013-2014,CHIS 2014,CHIS 2013,CHIS 2011-2012,CHIS 2012,CHIS 2011,CHIS 2009,CHIS 2007,CHIS 2005,CHIS 2003,CHIS 2001,NOTES,
BINGE_M,MALE BINGE DRINKING - 5+ DRINKS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,,
BINGE_MF,"BINGE DRINKING - 5+ DRINKS (MALE), 4+ DRINKS (FEMALE)",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,,
TE28,"EVER TRIED MARIJUANA, COCAINE, SNIFFING GLUE, OR OTHER DRUGS",TE28_P1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
TC39,USED MARIJUANA IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,,
TE59,TYPICAL PE CLASS: MINUTES EXERCISING,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,
TE55,"# OF DAYS TEEN WALKED, BIKED, SKATED FROM SCHOOL IN ONE WEEK",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,,
TE56,"# OF MINS TO WALK, BIKE, SKATE FROM SCHOOL",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,,
TE61,COULD WALK/BIKE HOME IN 30 MINUTES,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,
TE14,# OF HRS TEEN PLAYS TV/VIDEO GAMES ON WEEKEND,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,,"EXCLUDED VALUES ""93"" & ""94"" IN CALCULATING THE MEAN",
TE15,# OF HRS TEEN USES COMPUTER FOR FUN ON WEEKEND,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,,"EXCLUDED VALUES ""93"" & ""94"" IN CALCULATING THE MEAN",
TE29,# OF DAYS USED MARIJUANA IN PAST 30 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
MJ_MNTH,MARIJUANA USE PAST 30 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
TE10,EXERCISED TO STRENGTHEN MUSCLES IN PAST 7 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TESTRNG,MUSCLE-STRENGTHENING ACTIVITY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE10A,# OF DAYS EXERCISED TO STRENGTHEN MUSCLES IN PAST 7 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TC31,SCHOOL OFFERS PHYSICAL EDUCATION (PE) DURING SCHOOL DAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TC32,REQUIRED TO TAKE PE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TE51,TEEN ON SPORTS TEAM OUTSIDE SCHOOL IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TE52,TAKEN PHYSICAL ACTIVITY CLASSES IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TE42,PAST YEAR RECVD ANY BIRTH CONTROL COUNSELING,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
TE2,GLASSES OF MILK DRANK YESTERDAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TE3,GLASSES OR CANS OF SODA HAD YESTERDAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TE5,SERVINGS OF POTATOES OR FRENCH FRIES HAD YESTERDAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TE7,"TOOK VITAMIN ETC, DIETARY SUPPLEMENTS PAST MONTH",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TEVIGACT,VIGOROUS ACTIVITY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TEMODACT,MODERATE ACTIVITY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TE11,HOW MANY SPORTS TEAMS PLAYED ON PAST 12 MONTHS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TTV3,TV/VIDEO GAMES 3+ HOURS: WEEKDAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
PCWK,HOURS PER DAY COMPUTER USE: WEEKDAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TVWK,HOURS PER DAY WATCHING TV: WEEKENDS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
PCWKEND,HOURS PER DAY COMPUTER USE: WEEKENDS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TE16,USE SPF 15+ WHEN OUTSIDE MORE THAN AN HOUR ON A SUNNY DAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TE30,"DAYS SNIFFED GLUE, ETC. TO GET HIGH PAST 30 DAYS",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TE31,FEEL SEXUALLY ATTRACTED TO …,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TE40,TIMES BEEN OR GOTTEN SOMEONE PREGNANT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TE41,HOW MANY CHILDREN DO YOU HAVE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TE44,EVER BEEN TOLD HAVING SEXUALLY TRANSMITTED DISEASE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SECTION F,EMOTIONAL FUNCTIONING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF11,RECVD PSYCHOLOGICAL/EMOTIONAL COUNSELING IN PAST 12 MOS,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,
TI11,NEEDED HELP FOR EMOTIONAL PROBLEM IN PAST 12 MOS,,,X,,X,X,,,,,,,,,,,,,,,,,,,N/A,N/A,,
TI13V2,GOT PROF HELP FOR USE OF ALCOHOL/DRUGS PAST YR,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PREVIOUS VERSION: TI13. NEW VERSION  IN 2023 DUE TO SLIGHTLY EXPANDED UNIVERSE TO INCLUDE OTHER DRUG USE TYPES IN ADDITION TO ALCOHOL/MARIJUANA. LIKELY VERY MINOR CHANGE IN ACTUAL DATA RESULTS.,
TF46_1,HOW REC'D CARE FOR MENTAL HEALTH OR ALCOHOL/DRUG PROBLEM: IN-PERSON,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF46_2,HOW REC'D CARE FOR MENTAL HEALTH OR ALCOHOL/DRUG PROBLEM: VIDEO,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF46_3,HOW REC'D CARE FOR MENTAL HEALTH OR ALCOHOL/DRUG PROBLEM: TELEPHONE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF47,SATISFACTION WITH IN-PERSON VISIT,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF48,SATISFACTION WITH VIDEO VISIT,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF49,SATISFACTION WITH TELEPHONE VISIT,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF50,DELAYED OR DID NOT GET NEEDED MENTAL HEALTH CARE IN PAST 12 MONTHS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF51,EVENTUALLY RECEIVED NEEDED MENTAL HEALTH CARE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF52_1,REASON DELAYED/DIDN'T GET NEEDED MENTAL HEALTH CARE: COULDN'T GET APPT,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF52_2,REASON DELAYED/DIDN'T GET NEEDED MENTAL HEALTH CARE: INSURANCE NOT ACCEPTED,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF52_3,REASON DELAYED/DIDN'T GET NEEDED MENTAL HEALTH CARE: INSURANCE DIDN'T COVER,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF52_4,REASON DELAYED/DIDN'T GET NEEDED MENTAL HEALTH CARE: LANGUAGE PROBLEM,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF52_5,REASON DELAYED/DIDN'T GET NEEDED MENTAL HEALTH CARE: TRANSPORTATION PROBLEM,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF52_6,REASON DELAYED/DIDN'T GET NEEDED MENTAL HEALTH CARE: HOURS NOT CONVENIENT,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF52_7,REASON DELAYED/DIDN'T GET NEEDED MENTAL HEALTH CARE: NO CHILD CARE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF52_8,REASON DELAYED/DIDN'T GET NEEDED MENTAL HEALTH CARE: FORGOT/LOST REFERRAL,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF52_9,REASON DELAYED/DIDN'T GET NEEDED MENTAL HEALTH CARE: DIDN'T HAVE TIME,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF52_10,REASON DELAYED/DIDN'T GET NEEDED MENTAL HEALTH CARE: TOO EXPENSIVE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF52_11,REASON DELAYED/DIDN'T GET NEEDED MENTAL HEALTH CARE: NO INSURANCE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF52_91,REASON DELAYED/DIDN'T GET NEEDED MENTAL HEALTH CARE: OTHER REASON,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF53,MAIN REASON DELAYED/DIDN'T GET NEEDED MENTAL HEALTH CARE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
MAIN_DELAYMH,MAIN REASON DELAYED OR DID NOT GET MENTAL HEALTH CARE NEEDED,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV CREATED IN CHIS 2023.,
TG11,FEEL NERVOUS PAST 30 DAYS,,DISTRESS,X,,X,X,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,
TG12,FEEL HOPELESS PAST 30 DAYS,,DISTRESS,X,,X,X,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,
TG13,FELT RESTLESS PAST 30 DAYS,,DISTRESS,X,,X,X,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,
TG14,FEEL DEPRESSED PAST 30 DAYS,,DISTRESS,X,,X,X,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,
TG15,FEEL EVERYTHING AN EFFORT PAST 30 DAYS,,DISTRESS,X,,X,X,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,NOT AVAILABLE IN CHIS 2012; NOT AVAILABLE IN CHIS 2012 1-YEAR PUF,
TG16,FEEL WORTHLESS PAST 30 DAYS,,DISTRESS,X,,X,X,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,
DSTRS30,LIKELY HAS PSYCHOLOGICAL DISTRESS PAST MONTH,,,X,,X,X,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,
DSTRSYR,SERIOUS PSYCHOLOGICAL DISTRESS FOR WORST MONTH PAST YR (K6 SCORE),,,X,,X,X,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
DSTRS12,LIKELY HAS HAD PSYCHOLOGICAL DISTRESS IN THE LAST YEAR,,,X,,X,X,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
DISTRESS,SERIOUS PSYCHOLOGICAL DISTRESS,DSTRSTN_P1,,X,,X,X,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,
TF30,ANY MONTH PAST 12 MONTHS FELT WORSE,,,X,,X,X,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF31,FEEL NERVOUS WORST MONTH,,DSTRSYR,X,,X,X,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF32,FEEL HOPELESS WORST MONTH,,DSTRSYR,X,,X,X,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF33,FEEL RESTLESS OR FIDGETY WORST MONTH,,DSTRSYR,X,,X,X,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF34,FEEL DEPRESSED WORST MONTH,,DSTRSYR,X,,X,X,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF35,MONTH FEEL EVERYTHING IS AN EFFORT WORST MONTH,,DSTRSYR,X,,X,X,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF36,FEEL WORTHLESS WORST MONTH,,DSTRSYR,X,,X,X,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF45,CLIMATE CHANGE MAKES YOU NERVOUS/DEPRESSED/STRESSED,,,X,,X,X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TI13,GOT PROF HELP FOR USE OF ALCOHOL/DRUGS PAST YR,,,N/A,,X,X,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,"INCLUDES TEENS WHO EVER TRIED MARIJUANA; FROM CHIS 2011-2016, TI13 AFFECTED BY

DELETION OF EVER USING ILLICIT DRUGS

QUESTION. IN CHIS 2017-2018, TI13 INCLUDES

TEENS WHO EVER TRIED MARIJUANA; FROM CHIS 2011-2016, TI13 AFFECTED BY DELETION OF EVER USING ILLICIT DRUGS QUESTION. IN CHIS 2017-2018, TI13 INCLUDES TEENS WHO EVER TRIED MARIJUANA; Caution when trending with CHIS 2011 TI13 due to universe differences;",
TF38,HOW OFTEN USE THE INTERNET,,,N/A,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF39,HOW OFTEN USE COMPUTER/MOBILE DEVICE FOR SOCIAL MEDIA,,,N/A,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF40,SOUGHT HELP FROM ONLINE TOOL FOR MENTAL HEALTH OR ALCOHOL/DRUGS,,,N/A,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF41,USEFULNESS OF HELP FROM ONLINE TOOL,,,N/A,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF42,MAIN REASONS FOR NOT SEEKING HELP FROM ONLINE TOOL,,,N/A,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF43,CONNECTED WITH PEOPLE ONLINE WITH SIMILAR MENTAL HEALTH OR ALCOHOL/DRUGS STATUS,,,N/A,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TF44,CONNECTED WITH MENTAL HEALTH PROFESSIONAL ONLINE IN PAST 12 MOS,,,N/A,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE18,AGE WHEN SMOKED FIRST CIGARETTE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE17,"EVER SMOKED CIGARETTES REGULARLY, AT LEAST 1 EVERYDAY/30 DAYS",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE26,EVER DRIVEN A CAR AFTER DRINKING,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TF17,DOCTOR VISIT WAS AT KAISER,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TF18,CLEARLY UNDERSTOOD DOCTOR'S INSTRUCTIONS LAST TIME,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TF19,MD SPOKE DIFFERENT LANGUAGE REASON WHY DIFFICULT TO UNDERSTAND,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TF20,NEEDED SOMEONE ELSE TO HELP UNDERSTAND DOCTOR,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TF21,WHO HELPED YOU UNDERSTAND DOCTOR,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TF8C,TALKED WITH DOCTOR ABOUT SEATBELT USE AT LAST PHYSICAL EXAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
TF8D,TALKED WITH DOCTOR ABOUT HELMET USE AT LAST PHYSICAL EXAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
TF8G,TALKED WITH DOCTOR ABOUT VIOLENCE AT LAST PHYSICAL EXAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
TF12,HOW SURE ABOUT CONTACTING DOCTOR ON OWN FOR HEALTH/SAFETY Q’S,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
TF24,HOW SURE CAN TALK TO DOCTOR ABOUT SEX,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TF13,KNOW A PLACE YOUNG PEOPLE CAN SEE DOCTOR W/O PARENTS KNOWLEDGE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
DNVST,HAD DENTAL VISIT PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
TF27,NEEDED CHECK-UP OR HAD DENTAL PROBLEM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
USESRC,HAVE USUAL SOURCE OF CARE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
